sy	wilcox_p	wilcox_p2	log2foldchange	lab	show
RP11-417L14.1	0.0666218404847751	0.067	0.274517861797761	no	no
RAD23B	0.0163410558097465	0.016	0.862461488503029	no	no
LINC01509	0.445088381986749	0.45	0.119672313567867	no	no
RP11-363D24.3	0.401735637055398	0.4	-0.216934966281253	no	no
HMGN2P32	1	1	-0.0629409749772617	no	no
KLF4	0.304910578956478	0.3	0.879103884065984	no	no
RP11-438P9.1	0.401735637055398	0.4	-0.158195507010302	no	no
RNU6-1064P	0.288175633383966	0.29	0.993320267727407	no	no
RN7SL659P	0.213954526479435	0.21	-0.577309934276319	no	no
RP11-220D10.1	0.109496352286645	0.11	0.634866789445847	no	no
RP11-339N8.1	0.872600060989729	0.87	0.108478168160875	no	no
RPL36AP35	0.288175633383966	0.29	0.387172379487838	no	no
RP11-3J11.1	0.288175633383966	0.29	0.723074997879249	no	no
ACTL7B	0.325247512546919	0.33	0.28555886426525	no	no
ACTL7A	0.731406157372783	0.73	0.210451087467072	no	no
ELP1	0.000340296869261988	0.00034	1.16306396570359	up	no
ABITRAM	0.0421855472235406	0.042	0.440996119891404	no	no
CTNNAL1	0.0234626183133903	0.023	0.972398945867704	no	no
TMEM245	0.158400563197595	0.16	0.458193630994208	no	no
MIR32	0.288175633383966	0.29	1.63423493239651	no	no
FRRS1L	0.027908175037836	0.028	1.23646412008707	up	no
EPB41L4B	8.33832326055854e-05	8.3e-05	1.67075206965885	up	no
RNU6-984P	0.401735637055398	0.4	-0.691666429311057	no	no
PTPN3	0.0009010929448244	9e-04	1.90231043510781	up	no
PALM2AKAP2	0.498414930252522	0.5	0.907835597635222	no	no
YBX1P6	0.00435882668997611	0.0044	0.75024767798696	no	no
RP11-406O23.2	0.0501275086717424	0.05	1.19830170519656	no	no
RP11-151F5.2	0.202575069736293	0.2	0.414396356370403	no	no
C9orf152	0.0312390690819822	0.031	0.872440833406518	no	no
TXN	0.00310429214667797	0.0031	0.605950001634746	no	no
TXNDC8	0.117940144029158	0.12	0.117402335638018	no	no
SVEP1	3.4959013534242e-05	3.5e-05	1.29574524042866	up	no
RNU6-1039P	0.930269791940367	0.93	-0.379360469002922	no	no
RP11-410K21.2	0.666020256762826	0.67	-0.736072222434499	no	no
MUSK	0.00706875215042559	0.0071	1.07152457577155	up	no
RP13-461N9.2	0.117940144029158	0.12	1.09465170048866	no	no
LPAR1	0.648328991077541	0.65	0.33151802731107	no	no
RNU6-432P	0.872600060989729	0.87	0.297832794181997	no	no
RP11-202G18.1	0.0696432489257024	0.07	0.721579480725056	no	no
OR2K2	0.0482127565840246	0.048	0.874576218489605	no	no
ECPAS	0.0256044710667494	0.026	0.684645099044304	no	no
RNA5SP294	0.288175633383966	0.29	1.04373708218347	no	no
ZNF483	0.320166018066783	0.32	0.149017279233898	no	no
PTGR1	0.235780148867438	0.24	0.425652095320425	no	no
RP11-16L21.7	0.714951777662946	0.71	-0.138061416717123	no	no
LRRC37A5P	0.199926320276013	0.2	0.663367909609248	no	no
DNAJC25	0.0179212367196174	0.018	0.593836687774203	no	no
GNG10	0.836021174433147	0.84	-0.182230544170081	no	no
SHOC1	0.426064355321557	0.43	0.147408449375528	no	no
RP11-430K21.2	1	1	0.18715568452829	no	no
RNU6-1013P	0.406520982090715	0.41	1.31181232290829	no	no
UGCG	0.47856880680962	0.48	0.270320235939524	no	no
MIR4668	0.49310825838801	0.49	0.852410539406301	no	no
RNU6-710P	0.288175633383966	0.29	0.715855346313469	no	no
RP11-4O1.2	0.00116999639174036	0.0012	0.979707712831833	no	no
SUSD1	0.0111517479744182	0.011	1.1647186524041	up	no
RNU6-855P	0.0501275086717424	0.05	2.29763223959046	no	no
RP11-165N19.2	0.442719445125555	0.44	0.794427605972369	no	no
PTBP3	0.223368073144892	0.22	0.564468658842751	no	no
RN7SL57P	0.401735637055398	0.4	-0.634360328191307	no	no
RN7SL430P	0.401735637055398	0.4	-0.570368725540359	no	no
HSPE1P28	0.401735637055398	0.4	-0.396683074008483	no	no
RPL32P22	0.182448836075829	0.18	0.75156798225441	no	no
HSDL2	0.741302403279195	0.74	-0.174250385149727	no	no
C9orf147	5.93814442108511e-05	5.9e-05	1.19227409525766	up	no
KIAA1958	0.0009010929448244	9e-04	1.29414509856692	up	no
RP11-576C12.1	0.0453423262147128	0.045	0.75810609321249	no	no
INIP	0.0163410558097465	0.016	0.77841195323168	no	no
RP11-276E15.4	0.0110817482329575	0.011	1.15883859217565	up	no
SNX30	0.0389295444306838	0.039	0.638589909416093	no	no
SLC46A2	0.882619750296282	0.88	-0.476400609327402	no	no
RP11-408O19.5	0.247891537573433	0.25	-1.04459506409352	no	no
ZNF883	0.000115880517235817	0.00012	1.01474764849289	up	no
MUPP	0.0016133816909276	0.0016	2.00038092495497	up	no
ZFP37	0.000393430256677001	0.00039	1.20071348451285	up	no
RP11-349F12.4	0.0120413131569619	0.012	1.58107539187914	up	no
FAM225B	0.0103789697881048	0.01	0.932590700241499	no	no
FAM225A	0.143047093362521	0.14	0.553020124206537	no	no
SLC31A2	0.11496260822242	0.11	0.372633494825444	no	no
FKBP15	0.123606939257179	0.12	0.347554830450373	no	no
SLC31A1	0.108552093969253	0.11	0.677197269707266	no	no
CDC26	0.0214738582774679	0.021	0.464697960645282	no	no
PRPF4	0.000293711215479933	0.00029	1.08873785270029	up	no
RNF183	0.240178015224524	0.24	0.327246085387062	no	no
WDR31	0.235780148867438	0.24	0.350215822537667	no	no
BSPRY	0.702257546574928	0.7	-0.229405060179604	no	no
HDHD3	0.862756363425194	0.86	0.072218669793542	no	no
ALAD	0.352107497951274	0.35	-0.172426366363029	no	no
POLE3	0.00276365181218258	0.0028	0.858538744470419	no	no
C9orf43	0.00671173841875019	0.0067	0.691655464672128	no	no
RGS3	0.235780148867438	0.24	0.478611263772416	no	no
RP11-168K11.2	0.69484236426222	0.69	0.529728642587617	no	no
RP11-168K11.5	0.68682987223798	0.69	-0.0469881005074949	no	no
RP11-168K11.3	0.0826632774897882	0.083	0.490141534648684	no	no
RP11-18B16.2	0.232228532178668	0.23	-1.03927620619676	no	no
RP11-18B16.1	0.288175633383966	0.29	0.45271379406382	no	no
RP11-534I8.1	0.301930704655325	0.3	-0.206894793835531	no	no
ZNF618	0.0358839090302581	0.036	1.35009734113438	up	no
AMBP	0.503507665014925	0.5	0.0704322443491704	no	no
KIF12	0.649613691654995	0.65	1.02911197665759	no	no
COL27A1	0.421639375952352	0.42	0.921198918922221	no	no
ORM1	0.98723071392522	0.99	-2.69574486249563	no	no
ORM2	0.268331356580503	0.27	-0.15222471020572	no	no
AKNA	0.188885368438666	0.19	0.353134180991481	no	no
RP11-9M16.2	0.0926400502377457	0.093	1.42993702427832	no	no
WHRN	0.0533196963678118	0.053	0.667483519079951	no	no
RP11-9M16.3	0.0212053090242909	0.021	1.77542562012397	up	no
ATP6V1G1	0.0256044710667494	0.026	0.744117817921099	no	no
TMEM268	0.00116999639174036	0.0012	0.987276867797127	no	no
TEX53	0.206896239090669	0.21	0.735754930776006	no	no
TEX48	0.0309584142615673	0.031	0.833876075444696	no	no
RP11-402G3.4	0.401326606835268	0.4	-0.0852315417689266	no	no
TNFSF15	0.823540462865851	0.82	-0.168171174607264	no	no
RP11-78H18.2	0.0360434780614632	0.036	0.372144061569756	no	no
DELEC1	0.750198407534877	0.75	-0.0810590633762466	no	no
TNFSF8	0.140197142557822	0.14	-0.673174093635519	no	no
TNC	0.440172046743713	0.44	0.554124645774536	no	no
RP11-523L1.2	0.213954526479435	0.21	-0.15902452218452	no	no
RP11-445L6.3	0.204624532953818	0.2	0.79055109114573	no	no
RP11-284G10.1	0.759462865379934	0.76	-0.0416697101430215	no	no
PAPPA	0.00671173841875019	0.0067	-1.52352690231923	down	no
PAPPA-AS2	0.786642267949339	0.79	-0.168960425506145	no	no
RP11-45A16.4	0.0853894448565307	0.085	0.656944426096992	no	no
ASTN2	0.789311587720163	0.79	-0.0287142722561097	no	no
ASTN2-AS1	0.243315913216136	0.24	0.139001527122714	no	no
RP11-67K19.3	0.294258398739838	0.29	0.126823072350893	no	no
TRIM32	0.0256044710667494	0.026	0.965608419309107	no	no
RP11-305F14.1	0.0703295059281288	0.07	0.550899894802141	no	no
RPL10P3	0.368789713535367	0.37	0.56154540911556	no	no
SNORA70C	0.288175633383966	0.29	1.4554743995047	no	no
RN7SKP125	0.288175633383966	0.29	0.430815284872228	no	no
RP11-388N2.1	0.264682197508223	0.26	-0.404124434410841	no	no
RP11-500B12.1	0.0994731908266117	0.099	0.769210268816655	no	no
RP11-281A20.3	0.517680348467501	0.52	0.121673555415121	no	no
TLR4	0.368789713535367	0.37	-0.0944468550653922	no	no
RNU6-1082P	0.765084001834143	0.77	0.48517834482367	no	no
RP11-281A20.2	0.108552093969253	0.11	-0.486707341546808	no	no
RP11-281A20.1	0.41190396250109	0.41	0.566952516495444	no	no
