count	HOX	int	gene	CPM	SID	Group
2078	HOXA	10	HOXA10	18.2343693502961	SP22	groupB
497	HOXA	10	HOXA10	3.10814651329875	SP24	groupA
69	HOXA	10	HOXA10	1.06528074362401	SP26	others
48	HOXA	10	HOXA10	0.348884004383611	SP28	others
769	HOXA	10	HOXA10	10.4195126117835	SP31	others
5	HOXA	10	HOXA10	0.0483579824608693	SP41	groupA
513	HOXA	10	HOXA10	9.94324924413377	X172017	groupA
69	HOXA	10	HOXA10	1.3006118737985	X177793	groupB
266	HOXA	10	HOXA10	5.74036943507061	X747347	groupB
4	HOXA	11	HOXA11	0.0495085999161027	SP04	groupA
1	HOXA	11	HOXA11	0.0145581793471029	SP05	groupB
676	HOXA	11	HOXA11	6.62219892740753	SP07	others
15	HOXA	11	HOXA11	0.216672291479353	SP08	others
2655	HOXA	11	HOXA11	23.5698638862998	SP09	others
3	HOXA	11	HOXA11	0.0510605028152378	SP11	groupB
381	HOXA	11	HOXA11	4.62156844752115	SP12	others
1	HOXA	11	HOXA11	0.0105038941769635	SP13	groupB
0	HOXA	11	HOXA11	0	SP15	groupA
2	HOXA	11	HOXA11	0.0242819269641887	SP16	others
20	HOXA	11	HOXA11	0.175674859143678	SP17	others
0	HOXA	11	HOXA11	0	SP18B5	others
5	HOXA	11	HOXA11	0.0900975056829903	SP18T5	others
0	HOXA	11	HOXA11	0	SP19T5	others
0	HOXA	11	HOXA11	0	SP204	others
0	HOXA	11	HOXA11	0	SP20B5	others
0	HOXA	11	HOXA11	0	SP20T5	groupB
0	HOXA	11	HOXA11	0	SP21B5	others
0	HOXA	11	HOXA11	0	SP21T5	groupB
0	HOXA	11	HOXA11	0	SP22	groupB
3	HOXA	11	HOXA11	0.0187614477663909	SP24	groupA
3	HOXA	11	HOXA11	0.0463165540706091	SP26	others
2	HOXA	11	HOXA11	0.0145368335159838	SP28	others
42	HOXA	11	HOXA11	0.569076111436809	SP31	others
0	HOXA	11	HOXA11	0	SP41	groupA
2	HOXA	11	HOXA11	0.0387651042656287	X172017	groupA
0	HOXA	11	HOXA11	0	X177793	groupB
17	HOXA	11	HOXA11	0.366865715775189	X747347	groupB
31	HOXA	13	HOXA13	0.383691649349796	SP04	groupA
0	HOXA	13	HOXA13	0	SP05	groupB
0	HOXA	13	HOXA13	0	SP07	others
1	HOXA	13	HOXA13	0.0144448194319569	SP08	others
0	HOXA	13	HOXA13	0	SP09	others
0	HOXA	13	HOXA13	0	SP11	groupB
997	HOXA	13	HOXA13	12.0937106093926	SP12	others
7	HOXA	13	HOXA13	0.0735272592387448	SP13	groupB
3	HOXA	13	HOXA13	0.0347375228144471	SP15	groupA
0	HOXA	13	HOXA13	0	SP16	others
1	HOXA	13	HOXA13	0.00878374295718392	SP17	others
0	HOXA	13	HOXA13	0	SP18B5	others
0	HOXA	13	HOXA13	0	SP18T5	others
1	HOXA	13	HOXA13	0.0859615060937252	SP19T5	others
0	HOXA	13	HOXA13	0	SP204	others
0	HOXA	13	HOXA13	0	SP20B5	others
0	HOXA	13	HOXA13	0	SP20T5	groupB
0	HOXA	13	HOXA13	0	SP21B5	others
0	HOXA	13	HOXA13	0	SP21T5	groupB
2	HOXA	13	HOXA13	0.0175499223775708	SP22	groupB
0	HOXA	13	HOXA13	0	SP24	groupA
1	HOXA	13	HOXA13	0.0154388513568697	SP26	others
0	HOXA	13	HOXA13	0	SP28	others
9	HOXA	13	HOXA13	0.121944881022173	SP31	others
0	HOXA	13	HOXA13	0	SP41	groupA
0	HOXA	13	HOXA13	0	X172017	groupA
1	HOXA	13	HOXA13	0.0188494474463551	X177793	groupB
2	HOXA	13	HOXA13	0.0431606724441399	X747347	groupB
2	HOXB	1	HOXB1	0.0247542999580514	SP04	groupA
0	HOXB	1	HOXB1	0	SP05	groupB
3	HOXB	1	HOXB1	0.0293884567784358	SP07	others
0	HOXB	1	HOXB1	0	SP08	others
4	HOXB	1	HOXB1	0.035510152747721	SP09	others
0	HOXB	1	HOXB1	0	SP11	groupB
0	HOXB	1	HOXB1	0	SP12	others
1	HOXB	1	HOXB1	0.0105038941769635	SP13	groupB
1	HOXB	1	HOXB1	0.0115791742714824	SP15	groupA
0	HOXB	1	HOXB1	0	SP16	others
18	HOXB	1	HOXB1	0.158107373229311	SP17	others
0	HOXB	1	HOXB1	0	SP18B5	others
0	HOXB	1	HOXB1	0	SP18T5	others
0	HOXB	1	HOXB1	0	SP19T5	others
0	HOXB	1	HOXB1	0	SP204	others
0	HOXB	1	HOXB1	0	SP20B5	others
0	HOXB	1	HOXB1	0	SP20T5	groupB
0	HOXB	1	HOXB1	0	SP21B5	others
0	HOXB	1	HOXB1	0	SP21T5	groupB
0	HOXB	1	HOXB1	0	SP22	groupB
0	HOXB	1	HOXB1	0	SP24	groupA
0	HOXB	1	HOXB1	0	SP26	others
1	HOXB	1	HOXB1	0.0072684167579919	SP28	others
1	HOXB	1	HOXB1	0.0135494312246859	SP31	others
1	HOXB	1	HOXB1	0.00967159649217385	SP41	groupA
0	HOXB	1	HOXB1	0	X172017	groupA
1	HOXB	1	HOXB1	0.0188494474463551	X177793	groupB
0	HOXB	1	HOXB1	0	X747347	groupB
1903	HOXB	2	HOXB2	23.5537164100859	SP04	groupA
2557	HOXB	2	HOXB2	37.2252645905422	SP05	groupB
2684	HOXB	2	HOXB2	26.2928726644406	SP07	others
2565	HOXB	2	HOXB2	37.0509618429694	SP08	others
4160	HOXB	2	HOXB2	36.9305588576299	SP09	others
1381	HOXB	2	HOXB2	23.5048514626145	SP11	groupB
4302	HOXB	2	HOXB2	52.183694123979	SP12	others
1649	HOXB	2	HOXB2	17.3209214978129	SP13	groupB
2501	HOXB	2	HOXB2	28.9595148529774	SP15	groupA
1652	HOXB	2	HOXB2	20.0568716724199	SP16	others
2592	HOXB	2	HOXB2	22.7674617450207	SP17	others
220	HOXB	2	HOXB2	23.6808119332348	SP18B5	others
811	HOXB	2	HOXB2	14.613815421781	SP18T5	others
22	HOXB	2	HOXB2	1.89115313406195	SP19T5	others
1777	HOXB	2	HOXB2	29.1812886489911	SP204	others
15	HOXB	2	HOXB2	1.60775288452304	SP20B5	others
21	HOXB	2	HOXB2	1.97704053413233	SP20T5	groupB
1201	HOXB	2	HOXB2	31.6059726288066	SP21B5	others
